Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes
Erlan_1:bin_000053.fa	86.02	7.88	Neural Network (Specific Model)	11	0.903	14088	344.2871135598408	3732633	0.48	3267	None
Erlan_1:bin_000054.fa	81.77	17.95	Gradient Boost (General Model)	11	0.902	6215	295.4899222065064	5545459	0.46	5656	None
Erlan_1:bin_000055.fa	72.02	2.6	Neural Network (Specific Model)	11	0.904	51332	363.05456936226165	1829862	0.57	1521	None
Erlan_1:bin_000065.fa	70.44	3.88	Neural Network (Specific Model)	11	0.9	8020	329.62257751937983	4526204	0.45	4128	None
Erlan_3:bin_000001.fa	99.99	0.97	Neural Network (Specific Model)	11	0.867	63092	304.1514423076923	3496931	0.41	3328	None
Erlan_3:bin_000002.fa	100.0	0.01	Neural Network (Specific Model)	11	0.89	278286	317.89761634506243	4712291	0.52	4405	None
Erlan_3:bin_000003.fa	99.23	0.04	Neural Network (Specific Model)	11	0.906	102677	361.3856233620367	3193718	0.4	2671	None
Erlan_3:bin_000004.fa	99.93	0.1	Neural Network (Specific Model)	11	0.868	14087	322.61461238148354	1995069	0.45	1793	None
Erlan_3:bin_000005.fa	99.99	0.03	Neural Network (Specific Model)	11	0.904	190010	359.29383886255926	3016163	0.57	2532	None
Erlan_3:bin_000006.fa	96.88	7.47	Gradient Boost (General Model)	11	0.9	6470	270.97803247373446	3775359	0.64	4188	None
Erlan_3:bin_000008.fa	99.83	0.3	Neural Network (Specific Model)	11	0.899	74267	325.7718446601942	2682259	0.44	2472	None
Erlan_3:bin_000014.fa	91.79	3.23	Neural Network (Specific Model)	11	0.9	9083	331.5132201502922	3966392	0.43	3593	None
Erlan_3:bin_000015.fa	91.79	1.64	Gradient Boost (General Model)	11	0.887	7652	279.1573538856776	1466354	0.43	1557	None
Erlan_3:bin_000016.fa	94.35	0.76	Neural Network (Specific Model)	11	0.892	33575	357.17242371905587	4164107	0.46	3474	None
Erlan_3:bin_000017.fa	94.78	5.82	Neural Network (Specific Model)	11	0.893	17996	341.52930991837746	4631428	0.48	4043	None
Erlan_3:bin_000023.fa	57.73	0.73	Neural Network (Specific Model)	11	0.896	3269	250.1669708029197	1831039	0.57	2192	None
Erlan_3:bin_000027.fa	53.5	1.65	Neural Network (Specific Model)	11	0.916	3032	270.2250125565043	1759232	0.54	1991	None
Erlan_3:bin_000028.fa	61.21	4.52	Gradient Boost (General Model)	11	0.902	3398	251.93860222077075	2557709	0.38	3062	None
Erlan_3:bin_000030.fa	86.23	20.79	Neural Network (Specific Model)	11	0.917	10648	366.90774786605385	7306556	0.44	6092	None
Erlan_8:bin_000001.fa	98.62	2.52	Neural Network (Specific Model)	11	0.908	74563	378.2614481409002	3188098	0.44	2555	None
Erlan_8:bin_000002.fa	97.64	0.13	Gradient Boost (General Model)	11	0.863	94442	318.7528200098087	2256229	0.48	2039	None
Erlan_8:bin_000003.fa	97.83	0.88	Neural Network (Specific Model)	11	0.917	202788	308.011159631247	2073428	0.38	2061	None
Erlan_8:bin_000004.fa	97.06	0.29	Neural Network (Specific Model)	11	0.91	168147	385.2239358420728	4114455	0.43	3242	None
Erlan_8:bin_000006.fa	99.46	0.36	Gradient Boost (General Model)	11	0.89	48199	276.9494541043267	2303801	0.46	2473	None
Erlan_8:bin_000007.fa	96.75	0.12	Gradient Boost (General Model)	11	0.875	53179	301.69904995403004	3366663	0.51	3263	None
Erlan_8:bin_000008.fa	97.36	0.47	Neural Network (Specific Model)	11	0.885	36881	312.91050583657585	2177109	0.52	2056	None
Erlan_8:bin_000009.fa	99.72	0.03	Gradient Boost (General Model)	11	0.889	121031	320.6687712481787	2223458	0.39	2059	None
Erlan_8:bin_000010.fa	95.84	0.57	Neural Network (Specific Model)	11	0.846	19293	312.2871229698376	1906693	0.44	1724	None
Erlan_8:bin_000012.fa	95.91	0.42	Gradient Boost (General Model)	11	0.87	22819	289.2773761713521	3719547	0.49	3735	None
Erlan_8:bin_000014.fa	94.58	1.04	Gradient Boost (General Model)	11	0.862	6844	288.7233075874602	2209319	0.49	2201	None
Erlan_8:bin_000015.fa	99.97	0.45	Neural Network (Specific Model)	11	0.914	35866	340.6397756686799	2586541	0.38	2318	None
Erlan_8:bin_000016.fa	99.56	4.98	Neural Network (Specific Model)	11	0.872	16505	287.564825253664	2627356	0.38	2661	None
Erlan_8:bin_000017.fa	98.06	2.34	Gradient Boost (General Model)	11	0.886	47894	315.9284895713958	4656216	0.4	4363	None
Erlan_8:bin_000018.fa	99.73	3.85	Neural Network (Specific Model)	11	0.876	41251	293.79956359102243	3221874	0.35	3208	None
Erlan_8:bin_000019.fa	98.56	0.3	Gradient Boost (General Model)	11	0.883	32789	300.4904403244496	3517244	0.36	3452	None
Erlan_8:bin_000020.fa	99.09	3.19	Gradient Boost (General Model)	11	0.884	19064	289.8120418848168	1875837	0.38	1910	None
Erlan_8:bin_000021.fa	93.69	0.49	Neural Network (Specific Model)	11	0.911	68749	295.0465599051008	3267076	0.4	3372	None
Erlan_8:bin_000023.fa	95.99	0.32	Neural Network (Specific Model)	11	0.867	14573	319.33934426229507	2018987	0.47	1830	None
Erlan_8:bin_000025.fa	99.95	0.0	Neural Network (Specific Model)	11	0.913	131483	363.4227642276423	2346397	0.44	1968	None
Erlan_8:bin_000026.fa	98.9	0.65	Gradient Boost (General Model)	11	0.887	40604	311.02862849533955	4729420	0.37	4506	None
Erlan_8:bin_000027.fa	96.11	4.5	Gradient Boost (General Model)	11	0.87	10292	281.5820105820106	2744890	0.54	2835	None
Erlan_8:bin_000029.fa	100.0	0.07	Neural Network (Specific Model)	11	0.923	34493	351.571299230421	2519441	0.45	2209	None
Erlan_8:bin_000030.fa	97.72	0.13	Neural Network (Specific Model)	11	0.893	30651	349.4280742459397	2021397	0.44	1724	None
Erlan_8:bin_000031.fa	93.43	0.9	Neural Network (Specific Model)	11	0.872	12601	318.66923472008216	2131505	0.46	1947	None
Erlan_8:bin_000032.fa	86.96	1.73	Gradient Boost (General Model)	11	0.861	6205	268.8547280744733	3815793	0.42	4082	None
Erlan_8:bin_000033.fa	97.46	0.25	Gradient Boost (General Model)	11	0.917	25993	322.03295310519644	4147891	0.47	3945	None
Erlan_8:bin_000035.fa	93.67	2.25	Gradient Boost (General Model)	11	0.883	8003	285.141473538568	2796634	0.38	2891	None
Erlan_8:bin_000036.fa	90.09	2.26	Gradient Boost (General Model)	11	0.862	18345	289.72419627749576	1785346	0.42	1773	None
Erlan_8:bin_000037.fa	99.86	3.98	Gradient Boost (General Model)	11	0.784	11067	283.4414578587699	2375480	0.49	2195	None
Erlan_8:bin_000041.fa	89.0	1.14	Gradient Boost (General Model)	11	0.889	38083	289.13653846153846	3036577	0.3	3120	None
Erlan_8:bin_000044.fa	89.99	0.59	Gradient Boost (General Model)	11	0.895	32688	297.365179132621	1583167	0.4	1591	None
Erlan_8:bin_000045.fa	95.06	6.52	Neural Network (Specific Model)	11	0.897	24631	324.38100377765784	6015520	0.43	5559	None
Erlan_8:bin_000046.fa	84.65	0.06	Gradient Boost (General Model)	11	0.889	4661	265.37428680106507	2349570	0.58	2629	None
Erlan_8:bin_000048.fa	92.82	3.93	Neural Network (Specific Model)	11	0.909	63239	367.4365411436541	5207162	0.42	4302	None
Erlan_8:bin_000049.fa	88.13	4.16	Gradient Boost (General Model)	11	0.908	3969	273.111266620014	3861188	0.52	4287	None
Erlan_8:bin_000050.fa	88.08	1.37	Gradient Boost (General Model)	11	0.804	6391	262.2802287581699	1195417	0.37	1224	None
Erlan_8:bin_000052.fa	91.66	5.16	Gradient Boost (General Model)	11	0.894	6914	268.11692933401116	1766205	0.34	1967	None
Erlan_8:bin_000054.fa	73.86	2.41	Gradient Boost (General Model)	11	0.868	4192	252.58681751106738	1771345	0.53	2033	None
Erlan_8:bin_000056.fa	80.45	14.69	Neural Network (Specific Model)	11	0.885	6791	272.12764473378286	3958171	0.58	4301	None
Erlan_8:bin_000058.fa	84.07	0.25	Neural Network (Specific Model)	11	0.903	33485	359.17902973395934	3805647	0.47	3195	None
Erlan_8:bin_000059.fa	70.57	1.74	Neural Network (Specific Model)	11	0.931	3860	280.5118196811435	1641217	0.43	1819	None
Erlan_8:bin_000060.fa	87.76	3.22	Gradient Boost (General Model)	11	0.891	4573	286.7433422103862	2894496	0.48	3004	None
Erlan_8:bin_000061.fa	56.43	8.44	Gradient Boost (General Model)	11	0.886	2568	240.78814935064935	3006640	0.47	3696	None
Erlan_8:bin_000064.fa	87.93	7.26	Neural Network (Specific Model)	11	0.867	8871	284.871184687015	3801505	0.35	3866	None
Erlan_8:bin_000070.fa	61.1	0.75	Neural Network (Specific Model)	11	0.873	3073	278.99818291944274	1578865	0.46	1651	None
Harpea_6:bin_000001.fa	97.92	0.68	Neural Network (Specific Model)	11	0.881	116191	348.9876984126984	2991624	0.41	2520	None
Harpea_6:bin_000004.fa	100.0	3.3	Neural Network (Specific Model)	11	0.922	10182	298.0243731369455	5518952	0.62	5703	None
Harpea_6:bin_000005.fa	100.0	0.75	Gradient Boost (General Model)	11	0.895	23288	353.8693929021798	6578404	0.59	5551	None
Harpea_6:bin_000006.fa	97.77	0.73	Gradient Boost (General Model)	11	0.908	130882	331.4909090909091	3847699	0.44	3520	None
Harpea_6:bin_000007.fa	95.5	0.16	Neural Network (Specific Model)	11	0.921	57071	370.88893563315105	2867357	0.39	2377	None
Harpea_6:bin_000008.fa	96.67	0.44	Gradient Boost (General Model)	11	0.894	31923	317.52130727330984	3319550	0.43	3121	None
Harpea_6:bin_000009.fa	99.96	4.45	Neural Network (Specific Model)	11	0.899	45130	310.17033976124884	2250667	0.4	2178	None
Harpea_6:bin_000010.fa	95.81	2.01	Gradient Boost (General Model)	11	0.894	25820	281.24393132030787	3178412	0.42	3378	None
Harpea_6:bin_000011.fa	97.43	0.12	Neural Network (Specific Model)	11	0.891	75720	355.386404293381	4005385	0.43	3354	None
Harpea_6:bin_000015.fa	95.18	0.09	Neural Network (Specific Model)	11	0.878	36628	356.44794094794094	3131116	0.43	2574	None
Harpea_6:bin_000016.fa	96.32	0.01	Gradient Boost (General Model)	11	0.867	106524	315.1972752043597	1997811	0.38	1835	None
Harpea_6:bin_000017.fa	94.39	0.7	Gradient Boost (General Model)	11	0.912	42626	330.40349800552315	3534099	0.43	3259	None
Harpea_6:bin_000019.fa	95.32	0.01	Gradient Boost (General Model)	11	0.828	140339	350.09781931464175	2033683	0.37	1605	None
Harpea_6:bin_000020.fa	92.83	0.46	Neural Network (Specific Model)	11	0.912	22127	367.8316256830601	3538566	0.49	2928	None
Harpea_6:bin_000021.fa	95.12	0.77	Gradient Boost (General Model)	11	0.897	117102	291.1050328227571	1331916	0.3	1371	None
Harpea_6:bin_000022.fa	90.91	2.1	Neural Network (Specific Model)	11	0.905	15468	303.916130835896	3596284	0.42	3577	None
Harpea_6:bin_000023.fa	95.9	6.86	Neural Network (Specific Model)	11	0.904	5401	289.0272727272727	5163913	0.63	5390	None
Harpea_6:bin_000024.fa	91.17	1.18	Neural Network (Specific Model)	11	0.907	17665	348.5419977298524	4055105	0.45	3524	None
Harpea_6:bin_000025.fa	86.21	9.47	Neural Network (Specific Model)	11	0.889	4503	268.7294473883422	5976008	0.61	6605	None
Harpea_6:bin_000028.fa	81.95	4.92	Gradient Boost (General Model)	11	0.875	10181	279.9264810849393	4025094	0.44	4203	None
Harpea_6:bin_000030.fa	85.36	1.73	Neural Network (Specific Model)	11	0.903	17163	363.83114797966283	4513230	0.43	3737	None
Harpea_6:bin_000032.fa	66.09	2.1	Gradient Boost (General Model)	11	0.924	3040	247.1802002224694	1439756	0.3	1798	None
Harpea_6:bin_000034.fa	71.04	0.33	Gradient Boost (General Model)	11	0.877	3040	261.1616272677295	3245314	0.33	3638	None
Harpea_6:bin_000035.fa	83.55	0.09	Neural Network (Specific Model)	11	0.896	12936	364.6349259757739	3623933	0.39	2972	None
Harpea_6:bin_000039.fa	90.57	2.95	Gradient Boost (General Model)	11	0.899	5418	309.75650898423174	2816066	0.42	2727	None
Harpea_6:bin_000040.fa	62.44	4.37	Gradient Boost (General Model)	11	0.821	6477	298.1720860430215	2172983	0.36	1999	None
Harpea_6:bin_000041.fa	78.7	8.87	Neural Network (Specific Model)	11	0.902	8646	304.7285601888277	2571255	0.52	2542	None
